stock,taxa,variable,year,mean,sd,lower,upper,status
Opisthonema oglinum,Opisthonema oglinum,b_div_bmsy,2019,2.39384893945749,0.118243924214282,1.97743221103123,2.88182759935364,underfished
Lobatus gigas6,Lobatus gigas6,b_div_bmsy,2019,4.49356980111179e-06,11.7943958484522,6.28446974588774e-11,2.32212470330664,overfished
Panulirus argus,Panulirus argus,b_div_bmsy,2019,1.70667715823012,0.0937683425356815,1.47076860473534,1.99154580873917,underfished
Lobatus gigas4,Lobatus gigas4,b_div_bmsy,2019,1.73036630228229,0.148569810885357,1.37017810034111,2.15044321404057,underfished
Coryphaena hippurus,Coryphaena hippurus,b_div_bmsy,2019,1.61206333908019,0.108228019068661,1.33082676163223,1.86983569446388,underfished
Panulirus argus3,Panulirus argus3,b_div_bmsy,2019,1.79095059767634,0.140992209546892,1.43352313896826,2.23479837831093,underfished
Mugil cephalus,Mugil cephalus,b_div_bmsy,2019,1.32784061797493,0.105283729294892,1.11030824768753,1.54448583568734,underfished
Lobatus gigas2,Lobatus gigas2,b_div_bmsy,2019,1.89128346155772,0.131809959026417,1.52778130409472,2.31428283200563,underfished
Lutjanus campechanus,Lutjanus campechanus,b_div_bmsy,2019,0.871095146674904,0.834781779682048,0.505779712294466,1.28982815688344,fully fished
Lobatus gigas5,Lobatus gigas5,b_div_bmsy,2019,1.76731477041453,0.171496700249277,1.34335206667734,2.29259776790272,underfished
Thunnus atlanticus,Thunnus atlanticus,b_div_bmsy,2019,9.6635904678715e-05,10.6493687264488,3.14443765079723e-11,2.14606684579044,overfished
Lobatus gigas3,Lobatus gigas3,b_div_bmsy,2019,0.404564134330584,5.182337056933,0.145384069593465,3.36797289472371,overfished
Menticirrhus littoralis,Menticirrhus littoralis,b_div_bmsy,2019,0.960292028202485,0.321065200227452,0.581194414875727,1.58752245900137,fully fished
Lobatus gigas,Lobatus gigas,b_div_bmsy,2019,1.69471339626366,0.614887596780961,1.2294498683813,2.25277152460574,underfished
Panulirus argus2,Panulirus argus2,b_div_bmsy,2019,0.0456720724779327,8.49907334021778,1.18556170285246e-11,2.26744007674549,overfished
Sardinella aurita,Sardinella aurita,b_div_bmsy,2019,0.173420212127529,6.35968617968128,3.96199173628679e-11,2.2762719995636,overfished
Callinectes sapidus,Callinectes sapidus,b_div_bmsy,2019,6.39202931753421e-10,9.68083163261351,4.76707139860176e-12,1.85882182828011,overfished
Octopus spp,Octopus spp,b_div_bmsy,2019,2.85337540238359e-10,9.18520420176269,4.43108989500049e-12,1.3248927846373,overfished
Hirundichthys affinis,Hirundichthys affinis,b_div_bmsy,2019,0.662451251846653,4.72811761643476,0.68542256868943,2.55585587946116,overfished
Holothuriidae,Holothuriidae,b_div_bmsy,2019,0.993917002362518,0.171271507169106,0.750306131638302,1.30597586767888,fully fished
Centropomus spp,Centropomus spp,b_div_bmsy,2019,0.000836864054999643,11.2075033792409,1.0243642606485e-11,1.92908822526432,overfished
